id,target
200000,0.099048786
200001,0.008290381
200002,0.03699574
200003,0.050085697
200004,0.023622151
200005,0.1424368
200006,0.050095547
200007,0.0732147
200008,0.29831764
200009,0.12331835
200010,0.06227028
200011,0.051128585
200012,0.04497169
200013,0.14712282
200014,0.16508733
200015,0.021624742
200016,0.056765817
200017,0.11869006
200018,0.04039271
200019,0.05381507
200020,0.022017904
200021,0.07716472
200022,0.096379705
200023,0.043388873
200024,0.023167375
200025,0.08809604
200026,0.05699584
200027,0.052130558
200028,0.09144258
200029,0.112870246
200030,-0.008063567
200031,0.09423456
200032,0.046131924
200033,0.08929881
200034,0.2555487
200035,0.041620795
200036,0.048953652
200037,0.077053584
200038,0.030338993
200039,0.014405992
200040,0.015402789
200041,0.010802417
200042,0.04887869
200043,0.28216374
200044,0.07801926
200045,0.03434659
200046,0.011469886
200047,0.03406449
200048,0.08933241
200049,0.083635956
200050,0.097227514
200051,0.078304395
200052,0.098944284
200053,0.0121908
200054,0.0064175995
200055,0.00026495164
200056,0.086003624
200057,0.25583452
200058,0.03220516
200059,0.03960683
200060,0.057866707
200061,0.08263241
200062,0.19636916
200063,0.012285644
200064,0.057545334
200065,0.014644267
200066,0.1251019
200067,0.15726319
200068,0.06135566
200069,0.04020257
200070,0.012488253
200071,0.01026521
200072,0.05154555
200073,0.045647293
200074,0.028266741
200075,0.053919006
200076,0.02159561
200077,0.07185532
200078,0.0967772
200079,0.018102802
200080,0.08604446
200081,0.063799545
200082,0.047746334
200083,0.03648247
200084,0.023471624
200085,0.08869554
200086,0.045087587
200087,0.10662473
200088,0.09433251
200089,0.017114973
200090,0.063946985
200091,0.01678333
200092,0.0152816055
200093,0.05288444
200094,0.08431351
200095,0.04393626
200096,0.042299017
200097,0.027153024
200098,0.007062964
200099,0.08687359
200100,0.08767783
200101,0.010054531
200102,0.054411527
200103,0.06862414
200104,0.012765014
200105,0.008469549
200106,0.046956237
200107,0.06876489
200108,0.051183082
200109,0.026861891
200110,0.058479488
200111,0.010908981
200112,0.17807755
200113,0.008705507
200114,0.09370803
200115,0.06452976
200116,0.0785094
200117,0.22403549
200118,0.04495965
200119,0.04608101
200120,0.08799645
200121,0.038850572
200122,0.039793972
200123,0.012905768
200124,0.19063298
200125,0.02847275
200126,0.0057829213
200127,0.06655328
200128,0.010205131
200129,0.051040012
200130,0.33650646
200131,0.081943035
200132,0.06838836
200133,0.030997239
200134,0.030428782
